GeneSymbol_input,STRING_id,GeneSymbol_STRING
Ddx39a,10116.ENSRNOP00000068949,Ddx39a
Galr3,10116.ENSRNOP00000014349,Galr3
Diaph1,10116.ENSRNOP00000057176,Diaph1
Spsb1,10116.ENSRNOP00000074486,Spsb1
Kif26b,10116.ENSRNOP00000017784,Kif26b
Hemgn,10116.ENSRNOP00000042341,Hemgn
Samd4a,10116.ENSRNOP00000069137,Samd4a
Itga5,10116.ENSRNOP00000071805,Itga5
Utp3,10116.ENSRNOP00000004787,Utp3
Lims1,10116.ENSRNOP00000073371,Lims1
Raph1,10116.ENSRNOP00000033491,Raph1
Eloc,10116.ENSRNOP00000071456,Eloc
Ube2n,10116.ENSRNOP00000071283,Ube2n
Myadm,10116.ENSRNOP00000074552,Myadm
Vcam1,10116.ENSRNOP00000071423,Vcam1
Kcmf1,10116.ENSRNOP00000070131,Kcmf1
Ino80,10116.ENSRNOP00000035575,Ino80
Pak1ip1,10116.ENSRNOP00000033583,Pak1ip1
Cct3,10116.ENSRNOP00000025824,Cct3
Col6a1,10116.ENSRNOP00000001679,Col6a1
Pdap1,10116.ENSRNOP00000001310,Pdap1
Aig1,10116.ENSRNOP00000039627,Aig1
Slc7a5,10116.ENSRNOP00000025784,Slc7a5
Il1rl1,10116.ENSRNOP00000020108,Il1rl1
Ifrd1,10116.ENSRNOP00000067730,Ifrd1
Ifi47,10116.ENSRNOP00000003343,Ifi47
Fga,10116.ENSRNOP00000060007,Fga
Rap2b,10116.ENSRNOP00000019340,Rap2b
Rhoj,10116.ENSRNOP00000030536,Rhoj
Luzp1,10116.ENSRNOP00000016514,Luzp1
Fads3,10116.ENSRNOP00000027693,Fads3
Smad1,10116.ENSRNOP00000025079,Smad1
Itgb3,10116.ENSRNOP00000067271,Itgb3
Snrpb2,10116.ENSRNOP00000006900,Snrpb2
Abracl,10116.ENSRNOP00000074648,Abracl
Enc1,10116.ENSRNOP00000022144,Enc1
Cbarp,10116.ENSRNOP00000057421,Cbarp
Ywhah,10116.ENSRNOP00000072179,Ywhah
Nop58,10116.ENSRNOP00000022676,Nop58
S1pr4,10116.ENSRNOP00000007117,S1pr4
Ppp4r1,10116.ENSRNOP00000061977,Ppp4r1
Alyref,10116.ENSRNOP00000051838,Alyref
Krtap16-5,10116.ENSRNOP00000058323,Krtap16-5
Chd1,10116.ENSRNOP00000019358,Chd1
Batf3,10116.ENSRNOP00000004962,Batf3
Metrnl,10116.ENSRNOP00000066593,Metrnl
Adgrl4,10116.ENSRNOP00000071560,Adgrl4
Csf1,10116.ENSRNOP00000073134,Csf1
Numbl,10116.ENSRNOP00000074945,Numbl
Plec,10116.ENSRNOP00000073548,Plec
Anxa1,10116.ENSRNOP00000023664,Anxa1
Rbbp5,10116.ENSRNOP00000031945,Rbbp5
Sdcbp,10116.ENSRNOP00000013563,Sdcbp
Actr5,10116.ENSRNOP00000036100,Actr5
Itgax,10116.ENSRNOP00000051866,Itgax
Jak2,10116.ENSRNOP00000071877,Jak2
Nln,10116.ENSRNOP00000059652,Nln
Psmd5,10116.ENSRNOP00000025433,Psmd5
Ankrd39,10116.ENSRNOP00000021685,Ankrd39
Ppp3r1,10116.ENSRNOP00000058834,Ppp3r1
Ripk3,10116.ENSRNOP00000027759,Ripk3
Psma6,10116.ENSRNOP00000009666,Psma6
Tll1,10116.ENSRNOP00000058943,Tll1
Ephb6,10116.ENSRNOP00000019720,Ephb6
Fosl2,10116.ENSRNOP00000070970,Fosl2
