Gene,Degree,Betweenness,Closeness,Eigenvector
Dnttip2,128,0.00015975361352009657,0.37167745287468607,0.05281671537000756
Utp20,128,0.00044025537126004703,0.37377478634515987,0.05145771403767687
Nfe2l2,127,0.0015319267604662924,0.41276049477255566,0.0053990231234671785
Pabpc1,127,0.0026852987706682215,0.40530386578773675,0.029123094253764564
Mybbp1a,127,0.0025031226730252236,0.39851106356783056,0.03852755803336261
Actg1,127,0.004053811414151747,0.40785892607638546,0.0064498687140706525
Rrm1,127,0.00404711701690045,0.3997709059875018,0.0065828308439436845
Cdt1,127,0.001456849805227534,0.3917766138243945,0.004356197968866782
Psmd12,126,0.0018175865855462696,0.406310170113484,0.00878298184658464
Rrp7a,126,0.0004269527206648885,0.3789166078407825,0.05345986719748126
Rplp1,126,0.00026740055111522815,0.3929941707539236,0.04986338117134683
Metap2,126,0.0012473696434348244,0.3931607878415807,0.05022086786662633
Pwp1,125,0.0007110928539839979,0.3666322792260181,0.047252178527748115
Kif2c,125,0.0011901474219686225,0.3700459875986998,0.002061056866472713
Cct5,125,0.0024653933207408004,0.40690445147974624,0.021550224353944186
Rpl35a,125,0.0001077401663568274,0.3714293370850501,0.055109929798577366
Rac1,125,0.003593955916419584,0.39150094775781386,0.0018596450612908364
Cxcl10,125,0.0023017693569866906,0.39117066011909807,0.00291101195838119
Eef1b2,125,0.00024054952838501,0.3747313759115066,0.04804675167181953
Pum3,124,0.00019009845923467257,0.3671645420043586,0.049143583642875036
Rfc3,124,0.001518531588542072,0.4032476786153102,0.005406225944301762
Rpl28,124,9.783095588246113e-05,0.37716997488706955,0.05091054671873099
Kif23,124,0.002137128231234755,0.3726732397544575,0.002112408190711999
Oasl,124,0.0021775636647863327,0.38114888817194476,0.03340907239698347
Eif1a,123,0.0007986123846343059,0.3801592969072185,0.048312635440773195
Psmd4,122,0.0024428235051043834,0.4080383887895314,0.008120407250699933
Mcm7,122,0.0022988118083401197,0.4040676448463363,0.006170812032359196
Nle1,121,0.0006140043532686788,0.36318612725418087,0.0482642333693943
Hspa8,121,0.0028819609420917924,0.419862018528075,0.018140974490343253
Parp1,121,0.0034316653975384553,0.41992539392709816,0.004844041249268281
Psmc2,121,0.0011573831556266588,0.4012122490289912,0.017022864067592205
