"ProbeID","GeneSymbol","logFC","P.Value","adj.P.Val"
"10919226",NA,229.7454,8.25489772717329e-06,0.00241246208082392
"10869253","Ugcg",183.5802,9.02506757978278e-06,0.00252248095214212
"10824322","Lmna",260.75405,9.23648600096222e-06,0.00252248095214212
"10748336",NA,432.37395,9.25092484385984e-06,0.00252248095214212
"10826918","Nfkb1",227.4794,9.26491395914589e-06,0.00252248095214212
"10760816",NA,185.1768,9.70653787019807e-06,0.00255465583189159
"10911925",NA,91.83417,9.83323807082453e-06,0.00256489479465239
"10872291","Yars1",277.661,1.00420924030335e-05,0.00259619192444442
"10770577","Tgfb2",96.7549,1.02988034456554e-05,0.00261625429444676
"10733980",NA,546.445,1.06430795026617e-05,0.00268040452233413
"10918672",NA,513.2047,1.10402404537928e-05,0.00273734789386073
"10927195","Ptp4a1",696.7864,1.1069325360397e-05,0.00273734789386073
"10704505","Slc1a5",208.3354,1.11502840887734e-05,0.00273734789386073
"10938091",NA,81.19695,1.15364467431338e-05,0.00276759773822609
"10781630",NA,97.80996,1.1652444779962e-05,0.00276759773822609
"10733849","Lypd8l1",50.66744,1.19175365594805e-05,0.00278132935056013
"10908106",NA,171.51545,1.20597375136637e-05,0.00278132935056013
"10760144","Zkscan5",102.6455,1.20733527577321e-05,0.00278132935056013
"10801960",NA,262.64155,1.20910805614136e-05,0.00278132935056013
"10921850","Hsp90ab1",962.463499999999,1.38306522014558e-05,0.00308434101842237
"10809303",NA,36.885345,1.43386236602734e-05,0.00310287816008316
"10839168",NA,428.0163,1.45362453673194e-05,0.00310681130039975
"10736863","Ccl4",60.364875,1.50922139091047e-05,0.00314931383671846
"10923470","Ptp4a1",695.7288,1.55501254487235e-05,0.00322185365148233
"10801481",NA,135.68635,1.68332172496274e-05,0.00339608030459517
"10918706",NA,208.8765,1.69905571145471e-05,0.00339608030459517
"10870316","Mthfd2",363.1694,1.70565487159087e-05,0.00339608030459517
"10833643","Rpf2",111.0021,1.81194438114697e-05,0.00343728202278101
"10773853","Lif",172.63753,1.9214304109845e-05,0.00356632720826034
"10827691","RT1-M6-2",33.013965,1.92880022901737e-05,0.00356632720826034
"10863512","Mthfd2",381.24943,1.94591290509582e-05,0.00357533959807983
