"logFC","AveExpr","t","P.Value","adj.P.Val","B","ProbeID","GeneSymbol"
98.4962500000001,477.635111111111,4.03872904436786,0.00389173540361877,0.0392722480419063,-3.89029049086351,"10868193","Akirin2"
394.8506,903.073555555556,4.0356962448873,0.0039079688324071,0.0393188817371237,-3.89075141163058,"10826859","Aimp1"
80.47045,177.499444444444,4.03519193479691,0.00391067528464034,0.0393188817371237,-3.89082810842056,"10893774","Klf16"
112.24645,365.355111111111,4.03124734995278,0.00393191430050898,0.0394596167554344,-3.89142852732965,"10867743","Nbn"
45.58416,140.211966666667,4.02994384657355,0.00393896012131663,0.0394914155382292,-3.89162713944056,"10807464","Pla2g15"
117.0152,165.416555555556,4.02981976867205,0.00393963150803288,0.0394914155382292,-3.89164605015027,"10894549","Ckap4"
33.901545,37.0330333333333,4.02829502346971,0.00394789199747339,0.0395520290857982,-3.89187851059351,"10883461","Apob"
37.35968,51.8727222222222,4.02571612482946,0.00396190600872944,0.0396652234883557,-3.89227199767837,"10745583","Nle1"
153.76995,211.066,4.02403436055112,0.0039710737719902,0.0397297771146993,-3.89252881178856,"10721480","Atf5"
149.6789,280.888555555556,4.02283325817678,0.00397763530793772,0.0397818000294736,-3.89271232853164,"10804567","Synpo"
806.685499999999,1965.63888888889,4.02122893430705,0.0039864178463964,0.039852515134877,-3.89295758649354,"10776256","Rpl9"
49.958025,96.5982666666667,4.02079474367294,0.00398879832458344,0.039852515134877,-3.89302398870675,"10842409","Ddx27"
403.8491,826.926888888889,4.02053980731451,0.00399019674337126,0.0398528573199481,-3.8930629821602,"10856965","Snrpg"
55.382495,41.0908222222222,4.01854251445633,0.00400117092319445,0.0399351579604382,-3.89336860840095,"10860617","Speer4cl3"
542.368,1640.42444444444,4.01271253914067,0.00403339031808887,0.0401060125094106,-3.89426206261047,"10737056","Rpl37a"
253.5721,263.434111111111,4.01025797726969,0.00404703899764353,0.0402007717796143,-3.89463883090806,"10730098","Aldh18a1"
106.98985,325.926444444444,4.00976418320426,0.00404979076499889,0.0402007717796143,-3.89471467006175,"10703983","Hspbp1"
99.00983,122.716888888889,4.0088486921732,0.00405489785876187,0.0402376990644936,-3.89485531363353,"10939584","Elf4"
58.01445,252.957,4.00243604749531,0.00409086609148751,0.0404636976304644,-3.89584186005529,"10858315","Il17ra"
149.4707,378.962222222222,3.99943181917662,0.00410783476494078,0.0405700760050642,-3.8963048831485,"10801386","Tcerg1"
94.484,222.552888888889,3.99759566686211,0.00411824315614044,0.0406316634797322,-3.89658814241143,"10729009","Dtx4"
129.50615,278.456888888889,3.99711645885605,0.00412096426083511,0.0406447839014305,-3.89666210183662,"10791085","Nr2c2ap"
33.481385,88.1865555555556,3.9946471011066,0.00413501684194594,0.040714655214226,-3.89704343150521,"10938126","Ptges3l1"
42.791705,56.6414555555556,3.99245279473001,0.00414754747940127,0.0407909061834297,-3.89738259152419,"10810434","Gypa"
210.3896,225.408888888889,3.99182524460879,0.00415113863501528,0.0407909061834297,-3.89747964078623,"10730446","Npm3"
347.7152,549.521888888889,3.99133250972165,0.00415396065739333,0.0407971253368007,-3.89755585763638,"10732058","Rnps1"
246.8608,307.186111111111,3.99103350883481,0.00415567412141487,0.0407971253368007,-3.89760211453324,"10912990","Rassf1"
92.242915,100.392311111111,3.98929441134034,0.00416565535013031,0.040829405995446,-3.89787126721369,"10727603","Lrfn4"
736.1725,1863.63777777778,3.98919313612226,0.00416623739550984,0.040829405995446,-3.89788694671123,"10873870","Rpl9"
158.9024,271.249888888889,3.98677670644923,0.00418015102254396,0.0409259859441862,-3.89826124172618,"10834704","Wdr5"
41.800485,72.1856333333333,3.98524440288848,0.00418899983567739,0.0409660061920905,-3.89849877007784,"10791989","Prag1"
315.52555,747.623777777778,3.98483036833992,0.00419139428041892,0.0409660061920905,-3.89856297528413,"10782984","Rpl7a"
60.3837,197.225,3.98401275481728,0.00419612703325336,0.0409711414269598,-3.89868979444906,"10922771","Cnot11"
141.37305,218.091666666667,3.98354985420351,0.00419880908275575,0.0409823690252264,-3.89876161220436,"10741212","Tbl3"
1369.224,1558.995,3.98333016790173,0.00420008259264489,0.0409823690252264,-3.89879570041585,"10796445","Vim"
116.0105,257.874222222222,3.98185107229825,0.00420866766624179,0.0410473767256244,-3.8990252834337,"10851492","Oser1"
1628.371,5059.46444444444,3.98169837630513,0.00420955503080615,0.0410473767256244,-3.89904899213719,"10837537","Actg1"
185.94135,372.542,3.97840597675676,0.00422873728567118,0.041179443687866,-3.89956053404179,"10753732","Rpl24"
51.7424000000001,217.174222222222,3.97635307094115,0.00424074559549836,0.0412576616882987,-3.89987982399906,"10823593","Kpna4"
242.98001,134.681155555556,3.97594621937081,0.00424312979767269,0.0412645785316944,-3.89994313193548,"10823955","Fgb"
308.00335,471.519777777778,3.97365734790403,0.00425656980171627,0.0412947684454434,-3.90029947577513,"10830291","Frk"
44.6128,199.989111111111,3.97349202010056,0.00425754236180173,0.0412947684454434,-3.90032522707628,"10928916","Usp37"
95.703124,55.6880477777778,3.97104693801126,0.00427195380801786,0.0413658795317978,-3.90070626240656,"10824695","S100a9"
39.4586,337.284555555556,3.96950507278337,0.0042810686384037,0.0414203309826271,-3.90094672742639,"10826418","Ptbp2"
414.28105,415.004111111111,3.96765006395368,0.00429206239016703,0.0414530553333335,-3.90123621889117,"10881211","Efhd2"
205.5178,213.934444444444,3.96644517000349,0.00429921949944075,0.0414530553333335,-3.90142436475017,"10733380","Nhp2"
210.4979,1036.43922222222,3.9663167345887,0.00429998316732891,0.0414530553333335,-3.90144442527081,"10919270","Morf4l1"
116.0945,265.642555555556,3.96481875205516,0.00430890085630923,0.0414641808021007,-3.90167847074801,"10707237","Prmt3"
1293.8558,1704.46122222222,3.96360897689006,0.00431611733890959,0.0414865722105889,-3.90186758520287,"10905192","Myh9"
76.78484,110.431855555556,3.96256312928651,0.00432236645465651,0.0414865722105889,-3.90203114523264,"10935323","Utp14a"
493.3284,807.328666666667,3.96241678307275,0.00432324167436733,0.0414865722105889,-3.90205403756295,"10716464","Snu13"
